GEOID,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_inequality,beta_medIncome,beta_tot_nurse,beta_pcntblackfem,se_Intercept,se_inequality,se_medIncome,se_tot_nurse,se_pcntblackfem,t_Intercept,t_inequality,t_medIncome,t_tot_nurse,t_pcntblackfem,p_Intercept,p_inequality,p_medIncome,p_tot_nurse,p_pcntblackfem,sumW_Intercept,sumW_inequality,sumW_medIncome,sumW_tot_nurse,sumW_pcntblackfem
51580.0,1390431.47552799,1755426.16711345,-0.24195783537847723,0.11843235078217121,-0.33847856882091065,0.09652073344243342,0.9195838220334573,-0.20164550265245737,0.029382946145744895,0.06112490045016708,0.18246486103905288,0.0033874455514067286,0.1141138590059398,0.014882305498793139,0.15234275016044016,0.02490876407454489,0.2064461362140137,-1.7670553288532764,1.9743544538934286,0.40123274908581624,7.3253277638740775,0.016408374666286377,0.07731718158330052,0.048429938339514124,0.688276381351509,3.022621834685394e-13,0.9869096528367052,15.391622606038204,2318.245061557608,15.391622606038204,637.9841661848814,15.391622606038204
51590.0,1463388.51462733,1632112.97782253,-0.09520182148906835,-0.3733672375196154,-0.25207402027078946,0.1568721987817211,0.7669518548724384,-0.22678055863811097,0.029331559585775584,0.10362898377813563,0.1797748771330454,0.04001593247068026,0.11989486620570897,0.014889096038469444,0.1533567420250445,0.025216637708101113,0.09497472099566744,-1.8914951558393958,1.9700027127228326,0.6757380367484078,7.1292167978164205,0.42133245616489584,0.05865126160237233,0.04892679850736268,0.49925730431760684,1.2500334774927733e-12,0.6735414970698717,13.358489215387138,2303.2437803836356,13.358489215387138,632.2395561946845,13.358489215387138
51595.0,1624200.70712645,1674906.89166132,-0.08540946417434661,-0.6797712556097014,0.11464971935873675,-0.20005918353308336,0.15230112613923807,-0.1269522638404617,0.02966192481535896,-0.05134908033123393,0.2163657304823792,0.05361515854201127,0.16883082849941777,0.014905699328528399,0.11929273138626878,0.02544735633802801,0.08066055166934573,-0.7519495400740719,1.989972034293503,-0.4304460107042572,8.502483621807373,0.6647011138951483,0.4521383987570916,0.04668157679138908,0.6669011068083379,2.840844033879531e-17,0.506291043042798,13.234029773681819,2247.6515468627017,13.234029773681819,602.611012689112,13.234029773681819
51600.0,1597402.92502425,1916117.96562529,-0.38688600985936056,-1.2930633764033999,-0.19070631082236322,-0.19617969903699733,0.5854999901616376,-0.0884922074834068,0.030004970262166135,-0.0072056087041675685,0.22932498512622762,0.049851001741637486,0.15295654093110028,0.014900428596266268,0.05216023467538494,0.02548906441490957,0.0952650969764305,-0.5785447745138822,2.013698469699371,-0.13814371712495352,8.99699500120084,0.5232871568269237,0.5629383376581583,0.04412731512443276,0.8901357934274001,3.946537149209009e-19,0.6008117781664597,18.60174589214991,2235.9890761911447,18.60174589214991,627.078371063307,18.60174589214991
51620.0,1676291.97418569,1683926.52621307,-0.020441746876790772,-0.39056517386079737,-0.03777958713710747,0.017337840260316695,0.1733232567564681,-0.11194770297598527,0.02975685706253732,0.03278272453341442,0.22254697771474977,0.04776132778071265,0.17256894440909037,0.014910403950777756,0.10772840564836074,0.025543076915111613,0.07960367012136861,-0.648712915057318,1.995710992188454,0.30430901057258214,8.71261432028528,0.5999890169371941,0.5165719289583728,0.04605260514142045,0.7609128734547472,4.744131031291915e-18,0.5485573378695308,15.96827411736762,2229.05603046486,15.96827411736762,594.1094093409948,15.96827411736762
51630.0,1593611.63954721,1852074.4582303,-0.19905497983137863,-0.5297374924770517,-0.1320430121997459,-0.06701196763163272,0.5463465833866425,-0.13483903106860914,0.029891811549972874,-0.008207110525379441,0.22641573977044643,0.046773489915246116,0.1479405521317936,0.014901062888816775,0.054828887925886874,0.025467769355010054,0.09856953585103287,-0.9114406369694166,2.0060187500051847,-0.1496858834064468,8.890285466870134,0.47452277736129767,0.36213400380876515,0.04494083530408698,0.8810221677405989,1.01207906754319e-18,0.6351605292805175,14.522925274888808,2245.3643709379094,14.522925274888808,627.5378062975644,14.522925274888808
51640.0,1330011.49167375,1619098.52212621,-0.18878807872512543,0.013489203336508993,-0.3034992759424573,0.11471119721733186,0.9558059884061199,-0.23797273438229427,0.029062894267892228,0.0428581984713471,0.13258346909860286,0.0273857777124509,0.10650730256364042,0.014875503351693702,0.16030314813956006,0.025826405703077305,0.17321134673241784,-2.2343325636296196,1.953741905787892,0.2673571852377766,5.133639989354194,0.15810614159566164,0.02553210312665769,0.05082141817203545,0.7892119174991449,3.016959756103529e-07,0.8743834423980414,14.125877631360126,2342.5183921898106,14.125877631360126,647.7382083592017,14.125877631360126
51650.0,1717655.98119898,1735025.78869049,-0.13947584899174992,-0.6677039490149564,-0.04473242180215106,-0.09474342718959886,0.22856871936291978,-0.11058225712409396,0.029895522053808764,0.11075553338178644,0.2299920901362999,0.00959156504680869,0.17758426137864156,0.014913929661604939,0.10542081855533082,0.02572989503950679,0.08388710540060547,-0.6227030270904059,2.004536881434615,1.050603997384593,8.9387107791602,0.11433896784260078,0.5335254217645828,0.045099258773451216,0.29352226405265175,6.609508919929743e-19,0.9089764857654488,17.27808025671286,2211.70626116247,17.27808025671286,587.7114599913002,17.27808025671286
51660.0,1472875.10292795,1844795.02392175,0.06149140062298128,0.10660028619770526,-0.143977097800086,0.20546849842306728,0.7941269570438255,-0.1306434148528357,0.029679986113756458,0.006618686182798643,0.21108050514015692,0.09922399072202673,0.11751889973962583,0.014889540443179116,0.10771473392934139,0.025038811931117278,0.24778151906558524,-1.1116800373581481,1.993344672189183,0.0614464330120368,8.430132616549356,0.4004495214018086,0.2663618141477755,0.04631107585594818,0.9510076287077496,5.211955835310918e-17,0.6888530056622014,15.189980218436201,2284.932844013794,15.189980218436201,640.044207558886,15.189980218436201
51670.0,1631725.25585587,1744490.93903627,-0.015253152919459551,-0.33559610889018815,-0.1507471166938733,0.13549396377441375,0.23586395264886562,-0.09856426248203122,0.029779288671080494,0.1082274626549393,0.22367331638364546,0.026773650535588334,0.1769978356569318,0.014906005091678628,0.0937462124333836,0.025548646170384198,0.08742395376720888,-0.5568670493410699,1.9978048100698,1.1544729098452498,8.754801130829621,0.30625074000749025,0.5776584033217624,0.045824914191107645,0.24839518273974306,3.295967663701863e-18,0.7594342747504347,16.86158129806315,2241.6175925047405,16.86158129806315,609.5536282335622,16.86158129806315
