GEOID,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_inequality,beta_medIncome,beta_tot_nurse,beta_pcntblackfem,se_Intercept,se_inequality,se_medIncome,se_tot_nurse,se_pcntblackfem,t_Intercept,t_inequality,t_medIncome,t_tot_nurse,t_pcntblackfem,p_Intercept,p_inequality,p_medIncome,p_tot_nurse,p_pcntblackfem,sumW
1041.0,912407.9919146621,1008394.16708779,-0.2504456120105228,-0.31849797447633743,-0.12451558790726767,-0.1259300241032551,0.3892534024121757,0.12520455704142336,1.129226119017355e-05,-0.22652338976045336,-0.07595574496257457,0.0070614918086581435,-0.22547023647778097,0.13407512465596994,0.1865611863732819,0.09777372451319469,0.2725532752828807,0.6829216050827509,0.11240184125835939,-1.2142042734827645,-0.776852322449108,0.025908666117951003,-0.3301553718606696,1.192819647391663,0.2247620680163366,0.43730507950157926,0.9793318527190725,0.741304839043678,0.23303115502101773,16.811646132686086
1043.0,834669.484579955,1269854.28568769,-0.15753077731538523,0.0808579566214333,-0.10963701966786295,-0.04789375764752228,0.3485047884311628,0.19575145314180695,3.0213252432121334e-06,-0.09463968924889532,0.170322709406456,0.06591154717096046,0.15531128457977464,-0.06761893676059473,0.1525832887792694,0.3273272794564023,0.22535153601920074,0.3181028395177466,0.23190984299708425,-0.6202493733491571,0.520343766304213,0.2924832390108251,0.48824237097421447,-0.2915742423293559,0.53513913793487,0.6028610949499857,0.7699367154037613,0.6254126521949257,0.7706316487972242,15.12005602318051
1045.0,981962.41042813,982228.165827338,-0.3411911693341832,-0.4404648518265095,-0.049361929081737366,-0.29182924025244583,0.6452535119792565,0.08974468248125492,4.0147186439791394e-05,-0.5421517497394683,-0.712885869592921,-0.08269767159148655,-1.6014370874985375,0.8311735977008001,0.2183837962362942,0.13046461311485766,0.3318796235528433,0.686486632996119,0.11024874624142404,-2.4825639955120704,-5.464208666033561,-0.24917971976161132,-2.3328015587269144,7.539075282368165,0.01309652533839929,5.01713223916474e-08,0.8032382473456904,0.01972212951218432,6.175356684401058e-14,17.698411009475652
1047.0,831750.858201759,1067048.37086127,-0.2156555789837126,-0.878568268455861,0.035714391114519045,-0.25136997009823164,0.17271770161002126,0.14796368571329427,5.605068797339772e-05,-0.07024972769179198,0.001392472727437536,0.015419147131944907,0.11681172910923462,0.0352391755059396,0.2111845622738955,0.08322728624906066,0.2578767939860004,0.2823120656892431,0.12285393833372159,-0.33264613158930484,0.016730963968601728,0.05979268973222143,0.4137681073745389,0.28683797999389793,0.7394238725546223,0.9866523198766339,0.952324595799354,0.6790725194588513,0.7742555189967942,17.26989623355149
1049.0,927569.956688927,1316166.67536605,-0.22335828779808248,0.06197055350895919,-0.20615787192827184,-0.017200415869810637,0.2722217861012084,0.20930450948901602,4.31075346558075e-07,0.03463278487910538,0.010367504657681631,0.1225646151248902,-0.20585443151032262,0.2818659779279085,0.11373518300232659,0.22206764455655487,0.244926217690441,0.2905672773400644,0.26094775122716746,0.3045037073391523,0.04668624588865442,0.5004144361539848,-0.7084570340981707,1.0801625099368293,0.7607645751838068,0.9627662949396263,0.6168187558098998,0.4787146665234573,0.2801537122345534,15.64300084465205
1051.0,917857.963935717,1105908.70170046,-0.04316464863289727,-0.2951023147523715,0.10078577896582404,-0.14395042759872131,-0.1683006186443862,0.2459123637776266,3.9001191237113e-05,0.20713983205078812,-0.09045722859525218,-0.15512232686498809,0.1906117996728152,-0.04071393356252375,0.19478097533788666,0.1406426223930199,0.22525852337193966,0.30706397701307026,0.12064887895464778,1.0634500196513677,-0.6431708045266197,-0.6886413199506554,0.6207559790209509,-0.3374580345485698,0.28766061654946135,0.5201607694427756,0.49110046024358134,0.5348057525237937,0.7357944524109776,15.528888741447776
1053.0,839021.965459513,933567.492558129,-0.3106478891871532,-0.4608466211685644,-0.1825921162636367,-0.1280557729235165,-0.567248774116036,0.100704005182103,8.886995875558599e-06,-0.18180813248682984,-0.012273744216596801,0.11473233129492738,0.05248800826368345,0.102129632853886,0.16878055390439167,0.09544756161228812,0.2392083735983855,0.32701477260730855,0.11822330751648472,-1.0771864902743349,-0.12859149054486324,0.4796334240688209,0.1605065356686898,0.8638705429523307,0.2814806412003396,0.8976892280455362,0.6315218564475978,0.8724925147468997,0.38772573661252796,16.26435603198497
1055.0,911548.166004716,1267873.24075568,-0.09801175239515088,-0.09136846288956174,0.04184466982238037,-0.13985642221753125,0.2616172436337023,0.10620500859582671,1.1317466637580664e-05,0.05088928222756823,-0.0253522799877221,0.13034691845500027,-0.06642516805125515,0.1614049594686724,0.1286855330754701,0.267345945330211,0.2421532086019555,0.2808512301932848,0.17946292595045946,0.3954545706215728,-0.0948294912661135,0.5382828466636624,-0.23651371584002193,0.8993777328317274,0.692534609261571,0.9244563807657377,0.5904203745984113,0.8130496663043549,0.36852123725727914,15.898669005604939
1057.0,759248.9164311999,1216842.57086918,-0.32680356041644976,-0.13873235520619423,-0.03960440794430105,-0.2871991524721487,0.34199281261348785,0.12303251215853664,5.742942179174634e-05,-0.030379004307582717,0.06405102696135873,0.019677709393085347,0.09993858369765335,0.027808265975303382,0.15969841270836252,0.11288525195596061,0.24898368298020165,0.2702927216089996,0.09594672759278514,-0.19022734034971367,0.567399424207749,0.07903212434467062,0.3697420452268879,0.28983027011954565,0.8491434229891974,0.5704838602643767,0.9370121641879744,0.7115999159287103,0.7719654414098213,16.159177371898686
1059.0,742729.2957112341,1296253.92953909,-0.16877086174435202,0.20549558063920997,-0.1147689372836066,-0.05400192446074542,0.27401497297195604,0.13843393649549374,2.36700461304461e-06,-0.16251959960757453,0.02358705082936788,-0.12270600576789409,0.12015229397611793,0.11192623979153918,0.1929595688040126,0.19989138089703334,0.28451480804461166,0.3077009911715439,0.12780195837553243,-0.8422469049598899,0.11799933905863544,-0.4312816145184749,0.39048393545516,0.8757787534261083,0.39971463123128226,0.9060758139983686,0.666293557236574,0.6962055190498829,0.3812180657229326,17.40244486393246
